run_id,model_name,status,frame_size,is_full_eval,frames_evaluated,precision,recall,f1,false_positives,cpu_avg,memory_avg_mb,avg_fps,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,duration_sec,created_at
606834a2-180d-4635-8a29-4caff51a0aa3,mtcnn,completed,640x480,1,200,0.0472,0.0495,0.0483,101,605.4,1201.7,9.35,106.877,100.795,201.186,271.426,24.030829,2026-04-11T03:40:41.533250
a20c2f0a-acfe-4cce-aad8-5206d0bdbf07,scratch_cnn,completed,640x480,1,200,0.0,0.0,0.0,661,691.8,1345.6,2.72,366.908,346.923,580.049,627.611,78.036547,2026-03-12T06:24:13.589161
e78b32ac-1727-4cc2-8522-c21bc70fc3e5,mtcnn,completed,640x480,1,200,0.0472,0.0495,0.0483,101,708.7,1387.7,10.49,95.238,82.109,193.908,433.637,20.424602,2026-03-12T05:53:18.222577
560c40c9-a807-4526-81b0-6813c2240d6d,mtcnn,completed,640x480,0,0,,,,0,,,10.23,97.671,93.856,112.762,364.989,10.367579,2026-03-12T05:50:10.117738
98812e20-e315-4e9b-8c9b-8af25c529a1f,scratch_cnn,completed,640x480,0,0,,,,0,,,10.21,97.899,93.498,118.721,301.764,10.402244,2026-03-12T05:50:10.116275
72b104af-8760-4e42-a2e4-48439a2219f2,scratch_cnn,completed,640x480,1,200,0.0,0.0,0.0,2324,700.8,1506.4,3.01,331.997,332.07,344.094,351.899,72.290103,2026-02-27T19:02:48.537400
3c49ebd9-70b3-43dc-8a2b-c032d1aa0284,scratch_cnn,completed,640x480,1,200,0.0,0.0,0.0,679,750.7,1038.7,4.78,208.957,209.301,222.246,228.247,44.444119,2026-02-27T00:44:10.301180
16cc5243-9a49-4307-ad58-0b113bd8df9a,scratch_cnn,completed,320x240,0,0,,,,0,,,21.14,47.276,47.365,49.608,49.608,0.49057,2026-02-27T00:30:09.120281
b8b922f3-3ee1-4ad9-b2df-2394055c31b5,scratch_cnn,completed,320x240,0,0,,,,0,,,20.8,48.052,47.755,51.023,51.023,0.490992,2026-02-27T00:27:51.008560
09136700-4e3a-46ec-8c1f-c2e221a47985,scratch_cnn,completed,320x240,0,0,,,,0,,,22.61,44.213,44.395,47.638,47.638,0.575883,2026-02-27T00:25:05.246929
4d026777-31aa-429f-a88e-896367f02cf1,scratch_cnn,completed,320x240,0,0,,,,0,,,21.51,46.469,46.492,48.935,48.935,0.624847,2026-02-27T00:24:50.124752
